"Ion Mode","Name","Formula","Molecular Weight","RT [Min]","Levels","Fish Coverage"
"Pos","leu-gln","C11 H21 N3 O4",259.15321,1.578,"MSI Level III; level 3",NA
"Pos","Leu-Val","C11 H22 N2 O3",230.16304,4.904,"MSI Level III; level 3",NA
"Pos","1-BOC-4-(2-hydroxyethyl)piperazine","C11 H22 N2 O3",230.16304,4.209,"MSI Level III; Level 3",NA
"Pos","2-Methyl-2-propanyl 3-(hydroxymethyl)-1,4-diazepane-1-carboxylate","C11 H22 N2 O3",230.16304,5.843,"MSI level III; level 3",NA
"Pos","2-Methyl-2-propanyl 3-(hydroxymethyl)-1,4-diazepane-1-carboxylate","C11 H22 N2 O3",230.16304,6.099,"MSI Level III; level 3",NA
"Pos","Methyl N~2~-{[(2-methyl-2-propanyl)oxy]carbonyl}-L-ornithinate","C11 H22 N2 O4",246.15796,1.446,"MSI Level III; level 3",NA
"Pos","Na-(tert-Butoxycarbonyl)-L-arginine","C11 H22 N4 O4",274.16411,1.294,"MSI Level III; level 3",NA
"Pos","2-(2,2,6,6-Tetramethyl-4-piperidinyl)ethanol","C11 H23 N O",185.17796,13.509,"MSI Level III; level 3",NA
"Pos","4-[Cyclohexyl(methyl)amino]-1-butanol","C11 H23 N O",185.17796,13.594,"MSI Level III; level 3",NA
"Pos","N-Isobutyl-3-(1-piperazinyl)propanamide","C11 H23 N3 O",213.18411,2.607,"MSI Level III; level 3",NA
"Pos","Lysylvaline","C11 H23 N3 O3",245.17394,1.496,"MSI Level III; level 3",NA
"Pos","val-arg","C11 H23 N5 O3",273.18009,1.551,"MSI Level III; level 3",NA
"Pos","3-sulfobenzoic acid succinimidyl ester","C11 H9 N O7 S",299.00997,1.008,"MSI Level III; level 3",NA
"Pos","LUMICHROME","C12 H10 N4 O2",242.08038,12.098,"MSI Level I; level 1",NA
"Pos","3-(1,2-Dihydro-5H-tetrazol-5-ylidene)-5,8-dimethoxy-4(3H)-quinolinone","C12 H11 N5 O3",273.08619,13.732,"MSI Level III; level 3",NA
"Pos","(4S)-3-[(Benzyloxy)carbonyl]-1,3-oxazolidine-4-carboxylic acid","C12 H13 N O5",251.07937,7.792,"MSI Level III; level 3",NA
"Pos","9BKY99A8HJ","C12 H14 N2 O5",266.09027,2.742,"MSI Level III; level 3",NA
"Pos","9BKY99A8HJ","C12 H14 N2 O5",266.09027,3.279,"MSI Level III; level 3",NA
"Pos","9BKY99A8HJ","C12 H14 N2 O5",266.09027,2.949,"MSI Level III; level 3",NA
"Pos","4-(3-Pyridinyl)-6-(1-pyrrolidinyl)-1,3,5-triazin-2-amine","C12 H14 N6",242.12799,13.854,"MSI Level III; level 3",NA
"Pos","LBK26E89VE","C12 H14 O2",190.09938,13.44,"MSI Level III; level 3",NA
"Pos","Alanylphenylalanine","C12 H16 N2 O3",236.11609,4.278,"MSI Level III; level 3",NA
"Pos","NECA","C12 H16 N6 O4",308.1233,0.865,"MSI level III; level 3",NA
"Pos","tert-Butyl-1-oxo-2,7-diazaspiro[3.5]nonan-7-carboxylat","C12 H20 N2 O3",240.14739,1.171,"MSI Level III; level 3",NA
"Pos","Ethyl 4-(5-ethoxy-1H-1,2,3-triazol-1-yl)-1-piperidinecarboxylate","C12 H20 N4 O3",268.15354,2.361,"MSI Level III; level 3",NA
"Pos","His-Leu","C12 H20 N4 O3",268.15354,1.578,"MSI Level III; level 3",NA
"Pos","Amino(1-{[(2-methyl-2-propanyl)oxy]carbonyl}-4-piperidinyl)acetic acid","C12 H22 N2 O4",258.15796,13.307,"MSI Level III; level 3",NA
"Pos","N-{[(2-Methyl-2-propanyl)oxy]carbonyl}glycyl-L-valine","C12 H22 N2 O5",274.15287,1.876,"MSI Level III; level 3",NA
"Pos","Methyl N-{[(2-methyl-2-propanyl)oxy]carbonyl}-D-alanyl-D-alaninate","C12 H22 N2 O5",274.15287,2.013,"MSI Level III; level 3",NA
"Pos","3-tert-Butoxycarbonylamino-5-methyl-hexanoic acid","C12 H23 N O4",245.16271,10.365,"MSI Level III; level 3",NA
"Pos","7-({[(2-Methyl-2-propanyl)oxy]carbonyl}amino)heptanoic acid","C12 H23 N O4",245.16271,10.941,"MSI Level III; level 3",NA
"Pos","(3S)-5-Methyl-3-({[(2-methyl-2-propanyl)oxy]carbonyl}amino)hexanoic acid","C12 H23 N O4",245.16271,10.727,"MSI Level III; level 3",NA
"Pos","N-(tert-Butoxycarbonyl)-O-tert-butyl-L-serine","C12 H23 N O5",261.15762,3.758,"MSI Level III; level 3",NA
"Pos","N~6~-Carbamoyl-N~2~-{[(2-methyl-2-propanyl)oxy]carbonyl}-D-lysine","C12 H23 N3 O5",289.16377,1.558,"MSI Level III; level 3",NA
"Pos","N~6~-Carbamoyl-N~2~-{[(2-methyl-2-propanyl)oxy]carbonyl}-L-lysine","C12 H23 N3 O5",289.16377,2.413,"MSI Level III; level 3",NA
"Pos","L-Leucyl-L-seryl-L-alanine","C12 H23 N3 O5",289.16377,2.008,"MSI Level III; level 3",NA
"Pos","tert-butyl 4-(2-aminoethyl)-4-hydroxypiperidine-1-carboxylate","C12 H24 N2 O3",244.17869,9.989,"MSI Level III; level 3",NA
"Pos","N-[tert-butyl(methyl)carbamoyl]-3-methyl-L-valine","C12 H24 N2 O3",244.17869,8.772,"MSI Level III; level 3",NA
"Pos","6-[(6-Aminohexanoyl)amino]hexanoic acid","C12 H24 N2 O3",244.17869,7.921,"MSI Level III; level 3",NA
"Pos","Leu-Leu","C12 H24 N2 O3",244.17869,9.137,"MSI Level III; level 3",NA
"Pos","N-Methoxy-N-methyl-N~2~-{[(2-methyl-2-propanyl)oxy]carbonyl}-D-valinamide","C12 H24 N2 O4",260.17361,1.138,"MSI Level III; level 3",NA
"Pos","bis(1L-myo-inositol) 3,1'-phosphate 1-phosphate","C12 H24 O17 P2",502.04887,0.716,"MSI Level III; level 3",NA
"Pos","FBO90A88T6","C12 H25 N O",199.19361,13.698,"MSI Level III; level 3",NA
"Pos","4-[(Benzyloxy)carbonyl]-3-morpholinecarboxylic acid","C13 H15 N O5",265.09502,8.901,"MSI Level III; level 3",NA
"Pos","4-(p-Tolyl)cyclohexan-1-one","C13 H16 O",188.12012,13.178,"MSI Level III; level 3",NA
"Pos","6-(tert-Butoxycarbonyl)-5,6,7,8-tetrahydropyrido[3,4-b]pyrazine-7-carboxylic acid","C13 H17 N3 O4",279.12191,1.131,"MSI Level III; level 3",NA
"Pos","asn-tyr","C13 H17 N3 O5",295.11682,3.066,"MSI Level III; level 3",NA
"Pos","N-(tert-Butoxycarbonyl)-3-pyridin-2-yl-L-alanine","C13 H18 N2 O4",266.12666,2.796,"MSI Level III; level 3",NA
"Pos","2,6-Diamino-5-[6-hydroxy-6-(1,3-oxazol-2-yl)hexyl]-4(1H)-pyrimidinone","C13 H19 N5 O3",293.14879,1.159,"MSI Level III; level 3",NA
"Pos","Benzyl [5-(hydroxyamino)pentyl]carbamate","C13 H20 N2 O3",252.14739,13.373,"MSI Level III; level 3",NA
"Pos","tert-butyl 1,3-dioxo-2,8-diazaspiro[4.5]decane-8-carboxylate","C13 H20 N2 O4",268.14231,1.157,"MSI Level III; level 3",NA
"Pos","(4S,4'S)-2,2'-Methylenebis(4-isopropyl-4,5-dihydro-1,3-oxazole)","C13 H22 N2 O2",238.16813,8.001,"MSI Level III; level 3",NA
"Pos","(4S,4'S)-2,2'-Methylenebis(4-isopropyl-4,5-dihydro-1,3-oxazole)","C13 H22 N2 O2",238.16813,7.813,"MSI Level III; level 3",NA
"Pos","(2R)-2-({[(2-Methyl-2-propanyl)oxy]carbonyl}amino)octanedioic acid","C13 H23 N O6",289.15254,9.543,"MSI Level III; Level 3","87.5"
"Pos","(2R)-2-({[(2-Methyl-2-propanyl)oxy]carbonyl}amino)octanedioic acid","C13 H23 N O6",289.15254,9.367,"MSI Level III; Level 3","84"
"Pos","L-Leucyl-L-serylglycylglycine","C13 H24 N4 O6",332.16958,1.311,"MSI Level III; level 3",NA
"Pos","Bis(2-methyl-2-propanyl) (2-hydroxy-1,3-propanediyl)biscarbamate","C13 H26 N2 O5",290.18417,8.957,"MSI Level III; level 3",NA
"Pos","N-Methyldodecanamide","C13 H27 N O",213.20926,13.771,"MSI Level III; level 3",NA
"Pos","1-Benzyl 2-methyl (2R,4R)-4-hydroxy-1,2-pyrrolidinedicarboxylate","C14 H17 N O5",279.11067,10.334,"MSI Level III; level 3",NA
"Pos","Methyl alpha-aspartylphenylalaninate","C14 H18 N2 O5",294.12157,7.016,"MSI Level III; level 3",NA
"Pos","Diethyl (4-methoxyphenyl)malonate","C14 H18 O5",266.11542,13.184,"MSI Level III; level 3",NA
"Pos","N-Benzyloxycarbonyl-L-leucine","C14 H19 N O4",265.13141,12.447,"MSI Level III; level 3",NA
"Pos","N-Benzyloxycarbonyl-L-leucine","C14 H19 N O4",265.13141,12.586,"MSI Level III; level 3",NA
"Pos","Valyltyrosine","C14 H20 N2 O4",280.14231,5.78,"MSI Level III; level 3",NA
"Pos","(8aR,12S,12aR)-12-Hydroxy-4-methyl-4,5,6,7,8,8a,12,12a-octahydro-2H-3-benzoxecine-2,9(1H)-dione","C14 H20 O4",252.13616,13.586,"MSI Level II; level 3",NA
"Pos","2-Hydroxyphenyl dibutylphosphinate","C14 H23 O3 P",270.13848,13.812,"MSI Level III; level 3",NA
"Pos","1,13-Tetradecadien-3-one","C14 H24 O",208.18272,13.575,"MSI Level III; level 3",NA
"Pos","Glycyl-L-leucyl-L-leucine","C14 H27 N3 O4",301.20016,9.15,"MSI level III; level 3",NA
"Pos","leu-leu-gly","C14 H27 N3 O4",301.20016,11.426,"MSI level III; level 3",NA
"Pos","Bis(diisopropylthiocarbamyl) disulfide","C14 H28 N2 S4",352.11353,13.963,"MSI Level III; level 3",NA
"Pos","9-Acetyl-7-methyl-2-(4-morpholinyl)-4H-pyrido[1,2-a]pyrimidin-4-one","C15 H17 N3 O3",287.12699,7.617,"MSI Level III; level 3",NA
"Pos","1-Methyl-3-nitro-4-piperidin-1-yl-1H-quinolin-2-one","C15 H17 N3 O3",287.12699,7.8,"MSI Level III; level 3",NA
"Pos","[({(2S)-1-[4-(Benzoylamino)-2-oxo-1(2H)-pyrimidinyl]-3-hydroxy-2-propanyl}oxy)methyl]phosphonic acid","C15 H18 N3 O7 P",383.08824,10.205,"MSI Level III; level 3",NA
"Pos","[(3S,4S,7R,8S,9R)-11-Amino-7-methoxy-12-methyl-10,13-dioxo-2,6-diazapentacyclo[7.4.0.0~1,6~.0~2,4~.0~3,7~]tridec-11-en-8-yl]methyl carbamate","C15 H18 N4 O5",334.12772,1.14,"MSI Level III; level 3",NA
"Pos","N-Boc-D-Homophe-OH","C15 H21 N O4",279.14706,13.058,"MSI Level III; level 3",NA
"Pos","Cyclic ADP-ribose","C15 H21 N5 O13 P2",541.06111,1.108,"MSI Level II; level 2",NA
"Pos","leu-phe","C15 H22 N2 O3",278.16304,11.107,"MSI Level III; level 3",NA
"Pos","Benzyl 2-methyl-2-propanyl 1,2-ethanediylbiscarbamate","C15 H22 N2 O4",294.15796,13.375,"MSI Level III; level 3",NA
"Pos","N-(4-Carbamoylphenyl)-2,3-dihydro-1,4-benzodioxine-2-carboxamide","C16 H14 N2 O4",298.09536,13.201,"MSI Level III; level 3",NA
"Pos","Ethyl [(4-{[(butylamino)(oxo)acetyl]sulfamoyl}phenyl)amino](oxo)acetate","C16 H21 N3 O7 S",399.11002,13.108,"MSI Level III; level 3",NA
"Pos","Moxisylyte","C16 H25 N O3",279.18344,13.856,"MSI Level III; level 3",NA
"Pos","Hexadecasphinganine","C16 H35 N O2",273.26678,13.426,"MSI Level III; level 3",NA
"Pos","tert-Butyl 3-(4-methoxyphenyl)-1,4,6,7-tetrahydro-5H-pyrazolo[4,3-c]pyridine-5-carboxylate","C18 H23 N3 O3",329.17394,13.827,"MSI Level III; level 3",NA
"Pos","N,N'-(Iminodi-3,1-propanediyl)bis(2,3,4,5,6-pentahydroxyhexanamide)","C18 H37 N3 O12",487.23772,1.608,"MSI Level III; level 3",NA
"Pos","N-Formylformamide","C2 H3 N O2",73.01638,0.862,"MSI Level III; level 3","14.29"
"Pos","Glycine","C2 H5 N O2",75.03203,0.873,"MSI Level I; Level 3","37.5"
"Pos","Ethanethiol","C2 H6 S",62.01902,1.156,"MSI Level III; level 3",NA
"Pos","HYPOTAURINE","C2 H7 N O2 S",109.01975,0.836,"MSI Level I; level 3",NA
"Pos","Taurine","C2 H7 N O3 S",125.01466,0.827,"MSI Level I; level 2",NA
"Pos","ETHANOLAMINE PHOSPHATE","C2 H8 N O4 P",141.01909,0.965,"MSI Level I; level 1",NA
"Pos","N,N-dimethylsulfamide","C2 H8 N2 O2 S",124.03065,1.375,"MSI Level III; level 3",NA
"Pos","Naftifine","C21 H21 N",287.1674,13.941,"MSI Level III; level 3",NA
"Pos","Nicotinamide adenine dinucleotide (NAD+)","C21 H27 N7 O14 P2",663.10912,1.107,"MSI Level I; level 2",NA
"Pos","3,5-Bis[(3-methylbutanoyl)amino]-N-(2-methyl-2-propanyl)benzamide","C21 H33 N3 O3",375.25219,13.646,"MSI Level III; level 3",NA
"Pos","N-{1-(4-Methoxyphenyl)-3-oxo-3-[2-(2-pyridinylmethylene)hydrazino]-1-propen-2-yl}benzamide","C23 H20 N4 O3",400.15354,13.43,"MSI level III; level 3",NA
"Pos","N-[4-(1H-Imidazol-1-yl)butyl]-2-isopropyl-11-oxo-11H-pyrido[2,1-b]quinazoline-8-carboxamide","C23 H25 N5 O2",403.20082,13.548,"MSI Level III; level 3",NA
"Pos","Cervonoyl ethanolamide","C24 H36 O3",372.26644,13.29,"MSI Level III; level 3",NA
"Pos","Testosterone valerate","C24 H36 O3",372.26644,13.395,"MSI Level III; level 3",NA
"Pos","(5Z,7E)-9,10-Secocholesta-3,5,7,10-tetraen-25-ol","C27 H42 O",382.32357,13.12,"MSI Level III; level 3",NA
"Pos","secalciferol","C27 H44 O3",416.32905,13.054,"MSI Level III; level 3",NA
"Pos","3beta,7alpha-Dihydroxy-5-cholestenoate","C27 H44 O4",432.32396,13.035,"MSI Level III; level 3",NA
"Pos","2-deoxyecdysone","C27 H44 O5",448.31887,13.376,"MSI Level III; level 3",NA
"Pos","carpipramine","C28 H38 N4 O",446.30456,13.369,"MSI Level III; level 3",NA
"Pos","D5J0Q2CM4V","C3 H10 N O4 P",155.03474,1.042,"MSI Level III; level 3",NA
"Pos","N-methylethanolamine phosphate","C3 H10 N O4 P",155.03474,0.832,"MSI Level III; level 3",NA
"Pos","(2,3-Dihydroxypropyl)phosphoramidic acid","C3 H10 N O5 P",171.02966,1.002,"MSI Level III; level 3",NA
"Pos","(6-Amino-1,2,3,5-tetrazin-4-yl)cyanamide","C3 H3 N7",137.04499,0.967,"MSI Level III; level 3",NA
"Pos","Pyruvic acid","C3 H4 O3",88.01604,1.006,"MSI Level I; level 3",NA
"Pos","20R035KLCI","C3 H5 N O",71.03711,1.017,"MSI Level III; level 3",NA
"Pos","dehydroalanine","C3 H5 N O2",87.03203,1.013,"MSI Level III; level 3",NA
"Pos","oxazolidinone","C3 H5 N O2",87.03203,0.862,"MSI Level III; level 3",NA
"Pos","(Carbamoylsulfanyl)acetic acid","C3 H5 N O3 S",134.99901,0.872,"MSI Level III; level 3",NA
"Pos","7H-[1,2,4]Triazolo[4,3-b][1,2,4]triazole-3,7-diamine","C3 H5 N7",139.06064,1.041,"MSI Level III; level 3",NA
"Pos","glyceraldehyde 3-phosphate","C3 H5 O6 P",167.98237,0.765,"MSI Level I; level 3",NA
"Pos","2K48456N55","C3 H6 N2 O",86.04801,0.854,"MSI Level III; level 3",NA
"Pos","DL-Lactic Acid","C3 H6 O3",90.03169,0.834,"MSI Level I; level 3",NA
"Pos","Lactamide","C3 H7 N O2",89.04768,0.903,"MSI Level I; level 2",NA
"Pos","L-Serine","C3 H7 N O3",105.04259,0.856,"MSI Level I; level 2",NA
"Pos","L-cysteic acid","C3 H7 N O5 S",169.00449,0.752,"MSI Level I; level 3",NA
"Pos","3-phosphoglyceric acid","C3 H7 O7 P",185.99294,0.751,"MSI Level I; level 3",NA
"Pos","FOSAMINE","C3 H8 N O4 P",153.01909,0.977,"MSI Level III; level 3",NA
"Pos","2-[Formyl(hydroxy)amino]ethyl dihydrogen phosphate","C3 H8 N O6 P",185.00892,0.936,"MSI Level III; level 3",NA
"Pos","Phosphoserine","C3 H8 N O6 P",185.00892,0.769,"MSI Level I; level 3",NA
"Pos","4AB0N08V2H","C3 H8 S",76.03467,0.948,"MSI Level III; level 3",NA
"Pos","1-Amino-2-propanyl hydrogen sulfate","C3 H9 N O4 S",155.02523,0.838,"MSI Level III; level 3",NA
"Pos","GLYCEROL 2-PHOSPHATE","C3 H9 O6 P",172.01367,0.73,"MSI Level I; level 1",NA
"Pos","fosmidomycin","C4 H10 N O5 P",183.02966,1.356,"MSI Level III; level 3",NA
"Pos","0PK51J4AV7","C4 H10 N2 O",102.07931,2.348,"MSI Level III; level 3",NA
"Pos","1-Piperazinesulfonamide","C4 H11 N3 O2 S",165.0572,1.358,"MSI Level III; level 3",NA
"Pos","putrescine","C4 H12 N2",88.10005,1.389,"MSI Level I; level 3",NA
"Pos","{1-[(E)-(Hydrazinomethylene)amino]propyl}phosphonic acid","C4 H12 N3 O3 P",181.06163,1.147,"MSI Level III; level 3",NA
"Pos","Bis(2-aminoethyl) hydrogen phosphate","C4 H13 N2 O4 P",184.06129,0.983,"MSI Level III; level 3",NA
"Pos","6-Azidotetrazolo[1,5-b]pyridazin-8-amine","C4 H3 N9",177.05114,0.983,"MSI Level III; level 3",NA
"Pos","Uracil","C4 H4 N2 O2",112.02728,1.146,"MSI Level I; level 3",NA
"Pos","Succinic acid","C4 H6 O4",118.02661,1.155,"MSI Level I; level 3",NA
"Pos","Butyronitrile","C4 H7 N",69.05785,0.975,"MSI Level III; level 3",NA
"Pos","2-Pyrrolidone","C4 H7 N O",85.05276,1.464,"MSI Level III; level 3",NA
"Pos","3K9EJ633GL","C4 H7 N O2",101.04768,0.903,"MSI Level I; level 3",NA
"Pos","775261TI36","C4 H7 N O2",101.04768,1.149,"MSI Level I; level 3",NA
"Pos","L-homoserine lactone","C4 H7 N O2",101.04768,1.36,"MSI Level III; level 3",NA
"Pos","Timonacic","C4 H7 N O2 S",133.01975,0.934,"MSI Level III; Level 3",NA
"Pos","L-Aspartic 4-semialdehyde","C4 H7 N O3",117.04259,0.843,"MSI Level III; level 3","37.5"
"Pos","2-Hydroxy-1,3-thiazolidine-4-carboxylic acid","C4 H7 N O3 S",149.01466,0.927,"MSI Level III; level 3",NA
"Pos","L-Aspartic acid","C4 H7 N O4",133.03751,0.856,"MSI Level I; level 2",NA
"Pos","CREATININE","C4 H7 N3 O",113.05891,1.241,"MSI Level I; level 1",NA
"Pos","1-Cyclopropyl-1-nitrosourea","C4 H7 N3 O2",129.05383,1.005,"MSI Level III; level 3",NA
"Pos","Acetylmethylnitrosourea","C4 H7 N3 O3",145.04874,1.358,"MSI Level III; level 3",NA
"Pos","Asparagine","C4 H8 N2 O3",132.05349,0.859,"MSI Level I; level 2",NA
"Pos","(2Z,2'Z)-2,2'-[(1Z,2Z)-1,2-Ethanediylidene]dihydrazinecarboxamide","C4 H8 N6 O2",172.07087,1.154,"MSI Level III; level 3",NA
"Pos","S4I1G0R11O","C4 H8 N8",168.08719,0.967,"MSI Level III; level 3",NA
"Pos","Z5SD8DD6CP","C4 H8 O2 S",120.0245,0.935,"MSI Level III; level 3",NA
"Pos","Pyrrolidine","C4 H9 N",71.0735,1.087,"MSI Level III; level 3",NA
"Pos","gamma-Aminobutyric acid","C4 H9 N O2",103.06333,1.186,"MSI Level I; level 3",NA
"Pos","2-Aminoisobutyric Acid","C4 H9 N O2",103.06333,0.966,"MSI Level I; Level 3","61.11"
"Pos","DL-Homocysteine","C4 H9 N O2 S",135.0354,0.942,"MSI Level I; level 3",NA
"Pos","L-THREONINE","C4 H9 N O3",119.05824,0.885,"MSI Level I; level 1",NA
"Pos","Creatine","C4 H9 N3 O2",131.06948,1.055,"MSI Level I; level 2",NA
"Pos","2156QF7O8M","C4 H9 O7 P",200.00859,0.793,"MSI Level III; level 3",NA
"Pos","Ethyl 3-amino-3-iminopropanoate","C5 H10 N2 O2",130.07423,1.293,"MSI Level III; level 3",NA
"Pos","Gly-Ser","C5 H10 N2 O4",162.06406,0.919,"MSI Level III; level 3",NA
"Pos","3-(Ethylsulfanyl)propanoic acid","C5 H10 O2 S",134.04015,1.149,"MSI Level III; level 3",NA
"Pos","2,2-Bis(hydroxymethyl)propionic acid","C5 H10 O4",134.05791,0.845,"MSI Level III; level 3",NA
"Pos","67I85E138Y","C5 H11 N",85.08915,1.447,"MSI Level III; level 3",NA
"Pos","3-Methyl-2-buten-1-amine","C5 H11 N",85.08915,1.349,"MSI Level III; level 3",NA
